BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,BCUTare-1l,BCUTs-1l,BCUTse-1l,BCUTpe-1l,PEOE_VSA9,target
14.70177584,14.55774099,0.744079888,5.748824783,3.218349007,2.238180445,1.240004694,2.479450876,2.284833335,12.71084835,1
14.70055034,13.64428687,0.741445939,5.679852679,3.258334983,2.178923206,1.143745165,2.424757754,2.228722288,39.95814702,1
13.30411693,17.42477438,0.545839445,5.666628147,3.296716219,2.162280161,1.195097339,2.406729135,2.21110595,30.29785437,1
13.30411758,17.42477408,0.545842086,5.666628158,3.296578987,2.162280213,1.195097337,2.406729203,2.211106012,30.29785437,1
13.30411641,17.42477449,0.545837289,5.666628148,3.296716219,2.162280162,1.195097341,2.406729139,2.211105953,36.84261077,1
13.30411693,17.42477437,0.545839711,5.666628138,3.296588573,2.16228018,1.195097335,2.406729166,2.211105977,43.5116183,1
13.30411745,17.42477426,0.545841498,5.666628007,3.296588573,2.162280059,1.195097333,2.406729052,2.211105866,30.29785437,1
13.30411681,17.42477456,0.545838861,5.666627994,3.296726011,2.162279999,1.195097334,2.406728975,2.211105795,30.29785437,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,2.162280182,1.195097333,2.406729172,2.211105981,36.40182075,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,2.162280182,1.195097333,2.406729172,2.211105981,36.40182075,1
13.30411656,17.42477478,0.545838548,5.666628813,3.296839677,2.162281039,1.195097339,2.406730007,2.211106797,35.98524064,1
13.30411629,17.42477512,0.545837262,5.666627899,3.29674658,2.162279998,1.195097328,2.406729003,2.211105814,30.29785437,1
13.30237987,17.42835166,0.536180591,5.666628129,4.018052063,2.16228017,1.180334978,2.406729154,2.211105969,36.84261077,1
13.3031544,17.42581725,0.545139096,5.666628144,3.296632692,2.162280192,1.195097333,2.406729179,2.211105991,30.29785437,1
13.3031544,17.42581725,0.545139096,5.666628144,3.296632692,2.162280192,1.195097333,2.406729179,2.211105991,30.29785437,1
13.3031547,17.42582027,0.54523595,5.666619761,3.29888263,2.162268598,1.195097332,2.406717919,2.211095455,44.17637126,1
13.3041168,17.42477455,0.545839115,5.666626509,4.022056276,2.162275508,1.142100684,2.406722339,2.211100024,43.5116183,1
13.3041163,17.42477465,0.545836129,5.666629075,4.043755236,2.162279596,0.296672759,2.406729772,2.211106036,41.73809425,1
13.3031547,17.42582028,0.545235945,5.666619769,3.299269196,2.162268575,1.195097336,2.406717882,2.211095422,30.96260733,1
13.30411749,17.42477423,0.545841757,5.666628151,3.296588573,2.162280016,0.62503996,2.406729117,2.21110588,30.29785437,1
13.30411679,17.42477454,0.545838833,5.666627998,3.296638871,2.162280049,1.195097326,2.406729043,2.211105857,36.40182075,1
13.30411746,17.42477428,0.545841802,5.66648851,3.296622014,2.162186193,1.195097347,2.406656852,2.211029647,35.99178236,1
13.30411763,17.42477407,0.545842579,5.666554981,3.296611426,2.162174753,0.610180863,2.406682557,2.211043408,30.29785437,1
13.30411616,17.42477484,0.545836739,5.666627786,4.023004068,2.162279112,1.148423313,2.406727585,2.211104558,49.11266911,1
13.30411681,17.42477456,0.545838849,5.666626518,4.022057284,2.16227549,1.142100713,2.406722309,2.211099998,30.29785437,1
13.3031547,17.42582064,0.545235945,5.666618138,4.022059486,2.162263901,1.1421007,2.406711051,2.211089467,30.96260733,1
13.3031547,17.42582062,0.54523595,5.666618129,4.022058472,2.162263923,1.142100671,2.406711087,2.211089497,44.17637126,1
13.30411673,17.42477461,0.545839838,5.666547818,3.296687398,2.162225951,1.195097347,2.40668748,2.211061836,30.29785437,1
15.58918511,14.54841279,1.023534859,5.673601947,3.240362866,2.169427669,1.304263946,2.414555203,2.218990769,5.516700718,1
14.70046315,14.55168787,0.740399485,5.694044219,3.160924949,2.194025954,0.609493206,2.440016494,2.244020098,27.63399456,1
14.70034008,14.55169612,0.740335309,5.694033329,3.161650512,2.194004217,0.609493206,2.439992298,2.243995627,33.67583539,1
14.70046307,14.55158209,0.740397866,5.694044219,3.16809527,2.194025954,0.609493205,2.440016494,2.244020098,27.63399456,1
14.70046329,14.551679,0.740402006,5.694100165,3.160714513,2.194083888,0.609493208,2.440075516,2.244078707,27.63399456,1
14.70046329,14.551679,0.740401982,5.694100117,3.160732148,2.194083707,0.609493208,2.440075225,2.24407846,27.63399456,1
14.70043299,14.55169117,0.740386742,5.694044222,3.138729007,2.194025963,0.609493207,2.440016507,2.244020109,34.24087653,0
14.70046295,14.55216895,0.740398314,5.694044221,3.138754764,2.194025961,0.609493207,2.440016503,2.244020106,27.63399456,0
14.70042677,14.55254494,0.7403822,5.694044221,3.139026528,2.194025961,0.609493204,2.440016503,2.244020106,40.84775849,0
14.70033848,14.55231738,0.740346565,5.694044221,3.138968987,2.194025961,0.609493206,2.440016503,2.244020106,27.63399456,1
14.69995209,14.55229314,0.740326693,5.694044221,4.038030749,2.194025961,0.299243741,2.440016503,2.244020106,33.88976375,1
14.70033848,14.55231738,0.740346565,5.694044221,3.138968987,2.194025961,0.609493206,2.440016503,2.244020106,27.63399456,0
14.6997643,14.55170123,0.739800936,5.694044221,3.139249199,2.19402596,0.609493207,2.440016503,2.244020105,34.05481619,1
14.70033828,14.5521876,0.740346667,5.694044221,3.139249199,2.19402596,0.609493207,2.440016503,2.244020105,34.05481619,1
14.7004331,14.55161179,0.740388971,5.694044222,3.132964415,2.194025963,0.609517548,2.440016507,2.244020109,29.04986411,1
14.70046326,14.55167538,0.740401762,5.694044219,3.160081483,2.194025954,0.610029532,2.440016494,2.244020098,28.13691014,1
14.70046318,14.55156949,0.740400137,5.694044219,3.16700178,2.194025954,0.610028587,2.440016494,2.244020098,28.13691014,1
14.70046322,14.55168425,0.740400967,5.694044219,3.160242486,2.194025954,0.609546465,2.440016494,2.244020098,27.63399456,1
14.70046267,14.55844749,0.740395787,5.69404422,3.139480233,2.194025959,0.609493206,2.4400165,2.244020103,33.96131464,1
14.70046292,14.55232914,0.740397801,5.694044221,3.138769295,2.194025961,0.609493206,2.440016503,2.244020106,27.63399456,0
14.70046267,14.55844749,0.740395787,5.69404422,3.139480233,2.194025959,0.609493206,2.4400165,2.244020103,33.96131464,0
14.7004635,14.55166602,0.740405997,5.802365709,3.160514124,2.220950233,0.609493209,2.524197336,2.300595179,27.63399456,0
14.70043293,14.55158537,0.740385165,5.694044222,3.162827622,2.194025963,0.609493206,2.440016507,2.244020109,34.24087653,1
14.70046289,14.55265677,0.740397281,5.694044221,3.138933452,2.194025961,0.609493206,2.440016503,2.244020106,27.63399456,0
14.70042483,14.55169358,0.740385949,5.694044222,3.138754764,2.194025963,0.609493207,2.440016507,2.244020109,34.24087653,1
14.700433,14.55169312,0.740386406,5.694044221,3.138754764,2.194025961,0.609493207,2.440016504,2.244020106,27.63399456,1
14.70046303,14.55197878,0.740322346,5.69404367,3.165416263,2.194024615,0.609493206,2.440014598,2.244018426,27.63399456,1
14.70046314,14.55198261,0.740399442,5.694043664,3.190577864,2.194024589,0.609493206,2.440014554,2.24401839,27.63399456,1
14.70043299,14.55169117,0.740386742,5.694044222,3.138729007,2.194025963,0.609493207,2.440016507,2.244020109,34.24087653,1
14.70046264,14.56009706,0.740395278,5.69404422,3.139986662,2.194025959,0.609493205,2.4400165,2.244020103,39.65524263,0
14.7004631,14.5521447,0.740336014,5.694840586,3.180697852,2.194741035,0.609493206,2.440688385,2.244708529,27.63399456,0
14.70046288,14.55217333,0.740396825,5.694044221,3.138783088,2.19402596,0.609493206,2.440016503,2.244020106,27.63399456,0
14.70040076,14.56030074,0.739872712,5.672943522,3.216514088,2.172691507,1.246988089,2.418557385,2.222609052,42.97502233,1
14.69966503,14.56022058,0.738894391,5.672943522,3.209700461,2.172691508,1.203393299,2.418557385,2.222609052,50.08481987,1
14.70714934,13.62689277,0.784260377,5.691812103,3.180974015,2.190652521,1.338191483,2.436446377,2.240402204,0,0
14.70714934,13.62689484,0.784260379,5.692317144,3.180979926,2.191140456,1.327240201,2.436931287,2.240886466,0,0
14.70055034,13.64428687,0.741445939,5.679852679,3.258334983,2.178923206,1.143745165,2.424757754,2.228722288,39.95814702,1
14.70720208,14.54022727,0.787128877,5.693234165,4.019980383,2.191881773,1.130849441,2.437613928,2.241584104,0,0
14.70815907,14.54841481,0.787444244,5.673614747,3.242921197,2.169441425,1.304264459,2.414571874,2.219006247,11.20408699,1
15.5890874,14.54892556,1.023531357,5.673660824,3.240096978,2.169525053,1.235351741,2.414685462,2.219109356,5.516700718,1
15.58908731,14.54892773,1.023530688,5.673660812,3.240106374,2.169525052,1.235135386,2.41468546,2.219109355,5.516700718,1
15.58926575,14.54819794,1.023541018,5.673664323,3.239830799,2.169531273,1.304267175,2.414694016,2.219117042,5.516700718,0
14.7027085,14.54873626,0.751902579,5.673664176,3.239921583,2.169531251,1.304260049,2.414693988,2.219117012,5.516700718,1
15.5891232,14.54872696,1.023533099,5.673664167,3.239892175,2.16953125,1.304257545,2.414693986,2.219117011,5.516700718,1
15.58912314,14.54872794,1.023532654,5.673664145,3.239896688,2.169531245,1.30425681,2.414693979,2.219117004,5.516700718,1
15.58908751,14.54892208,1.023533302,5.673664211,3.239918662,2.169531302,1.304257152,2.414694051,2.219117072,5.516700718,1
15.58908749,14.54892287,1.023532282,5.673664132,3.239923188,2.169531244,1.30425669,2.414693978,2.219117002,5.516700718,1
15.58908745,14.54892395,1.023531946,5.673664125,3.239927759,2.169531244,1.304254863,2.414693978,2.219117002,5.516700718,1
15.5890874,14.54892505,1.023531501,5.673664101,3.239932341,2.169531238,1.304254297,2.414693971,2.219116995,5.516700718,1
15.58908682,14.54893559,1.023527812,5.673660751,3.240412127,2.169525044,1.235277298,2.41468545,2.219109343,5.516700718,1
14.70062284,14.54078245,0.741477009,5.731048866,3.162352849,2.229146753,1.173340919,2.474688713,2.278681036,18.2497736,1
14.70228608,13.63730804,0.752757174,5.684716188,3.285290687,2.182686331,1.352486406,2.42832793,2.232251227,7.109797541,0
14.7017758,14.55774687,0.74404011,5.771211349,3.227718648,2.150757043,1.004951552,2.481367852,2.290254828,10.17706424,0
13.30411704,17.42477412,0.545848814,5.694333007,4.02317377,2.193845111,1.190002028,2.439587285,2.243722468,5.538925252,1
15.58862281,14.54971228,1.02348884,5.673664295,3.239895539,2.169531313,1.304264946,2.414694066,2.219117088,5.516700718,1
15.58924356,14.54826103,1.023539775,5.673664287,3.239895539,2.169531313,1.304264765,2.414694065,2.219117087,5.516700718,1
13.30412029,17.42476918,0.54605203,5.670606543,4.024955194,2.170328503,1.134857523,2.416278238,2.220268396,6.606881965,1
15.58432691,14.56441425,0.97782203,5.76360009,3.240281659,2.244936972,1.301380803,2.485626781,2.292026837,6.327320075,1
15.58924388,14.5482581,1.023540631,5.673664289,3.239835192,2.169531269,1.30426641,2.41469401,2.219117036,5.516700718,1
15.5892438,14.54825875,1.023540256,5.673664279,3.239839594,2.169531267,1.304264726,2.414694008,2.219117034,5.516700718,1
15.58924372,14.54825941,1.023539795,5.673664256,3.239844005,2.169531262,1.304263954,2.414694002,2.219117027,5.516700718,1
14.70250654,14.56871236,0.751864089,5.692144965,3.230646828,2.188680112,0.605079936,2.435477105,2.239375937,30.12062709,0
14.70063026,14.54078443,0.741404845,5.731102609,3.162682219,2.229247723,1.173333372,2.474798093,2.278792577,24.85665557,1
13.30345114,17.42773768,0.536298372,5.758910289,4.027885726,2.2409397,1.127814593,2.479127429,2.285685673,12.93420204,1
14.70121383,13.64268343,0.741553224,5.727213733,4.119698853,2.227123632,1.052014341,2.473105465,2.277101475,11.51895686,0
14.69977106,13.64484323,0.740350976,5.72721742,4.119706632,2.227130232,1.05201161,2.473112548,2.27710866,5.414990469,1
14.69977106,13.64484323,0.740350976,5.72721742,4.119706632,2.227130232,1.05201161,2.473112548,2.27710866,5.414990469,0
14.70121383,13.64268343,0.741553224,5.727213733,4.119698853,2.227123632,1.052014341,2.473105465,2.277101475,11.51895686,0
14.69976941,14.56537121,0.740349842,5.763636073,3.241216505,2.249154958,1.22031932,2.487633316,2.294506916,25.73792758,1
14.70253372,14.56538785,0.748757702,5.75685253,3.269475008,2.240717297,1.419059017,2.478956813,2.285505683,12.93420204,0
14.70187842,14.56542543,0.748690717,5.758957032,4.02755694,1.994244822,0.29259426,2.424930283,2.11444564,25.20007845,0
15.58926566,14.54819856,1.023540556,5.6736643,3.239835192,2.169531269,1.304266368,2.41469401,2.219117036,5.516700718,0
13.3031547,17.42581741,0.545237521,5.693729176,3.294590417,2.192794854,1.24838764,2.438301374,2.242567308,13.15163837,1
14.70046272,14.69242901,0.74039642,5.694044222,3.139480233,2.194025963,0.609493206,2.440016506,2.244020109,34.17875097,1
14.70042677,14.55254494,0.7403822,5.694044221,3.139026528,2.194025961,0.609493204,2.440016503,2.244020106,40.84775849,1
14.69976402,14.5570738,0.739746438,5.749558323,3.194425955,2.245504352,1.151855956,2.490526715,2.294522582,31.90432755,1
14.70102842,14.56436259,0.771865695,5.761452964,4.0290105,2.007132313,0.296974159,2.449563063,2.129855857,12.93420204,1
14.70241394,14.55706781,0.751674897,5.82603073,3.188398441,2.324155289,1.208337625,2.565206359,2.37110718,25.38791908,0
14.70177584,14.82535704,0.744083364,5.771144704,3.218744496,2.247535168,1.04340428,2.490987053,2.296080798,23.2254087,1
14.6999514,14.54389055,0.74030255,5.694098999,4.048503551,2.187948167,0.297581763,2.440070756,2.24166697,69.20737049,1
14.69994695,14.54390267,0.74027674,5.694098921,4.048509734,2.187948081,0.297579508,2.440070675,2.241666952,95.63489835,1
14.69994259,14.5439149,0.740252327,5.694098844,4.04851596,2.187947997,0.297577269,2.440070595,2.241666934,122.0624262,0
14.69994916,14.54361779,0.740289914,5.693488099,4.048505561,2.187697263,0.297581616,2.438878613,2.241359431,69.20737049,1
14.69994476,14.54362865,0.740264794,5.693488037,4.048511758,2.187697197,0.297579362,2.438878563,2.241359423,95.63489835,0
14.69994045,14.5436396,0.740241015,5.693487976,4.048517997,2.187697132,0.297577124,2.438878513,2.241359414,122.0624262,1
14.69975554,14.63886887,0.739388651,5.685688358,4.023614591,2.184887871,1.145855008,2.430435139,2.234611776,83.90855486,0
14.69975554,14.63888671,0.739388651,5.685688355,4.023635916,2.184887867,1.145855004,2.430435135,2.234611772,136.7636106,1
14.69975554,14.63889573,0.739388651,5.685688354,4.02364669,2.184887866,1.145855001,2.430435133,2.23461177,163.1911384,1
14.69975554,14.63890482,0.739388651,5.685688353,4.023657538,2.184887864,1.145854999,2.430435131,2.234611769,189.6186663,1
14.70028819,14.56571881,0.74130621,5.655503082,4.029514265,2.007360643,0.294358692,2.401040746,2.129572803,19.541084,0
14.70028827,14.56571035,0.741308322,5.694935587,4.029505792,2.007363882,0.294360266,2.440842557,2.129586878,19.541084,0
14.70021672,14.56570636,0.740802381,5.655503083,4.029507235,2.007363452,0.294361046,2.401040747,2.129575395,26.65088155,0
14.70028815,14.56572281,0.741307287,5.694108849,4.029513111,2.007363235,0.294357811,2.439935186,2.129587993,19.541084,0
14.69976494,14.55092014,0.7386458,5.675821646,3.282739695,2.174957862,1.143517998,2.420578153,2.224696827,39.41763213,1
14.69976494,14.55092105,0.738645716,5.675821597,3.283059534,2.174954424,1.143517982,2.420575775,2.224694367,49.46289875,1
14.69976493,14.55092291,0.738639876,5.675821283,3.283127056,2.174958303,1.143518,2.420577202,2.224696184,39.41763213,1
14.70117033,13.64271812,0.741582922,5.723272492,4.119022749,2.223259678,1.054931776,2.46925717,2.273256622,12.71084835,0
13.3031547,17.42582362,0.545238281,5.688992684,4.017094038,2.18890472,1.197111876,2.434859403,2.238876639,18.2497736,1
13.30411754,17.42477401,0.545850566,5.694336496,4.023225565,2.193853532,1.189630814,2.439599135,2.243732945,5.538925252,1
13.30411742,17.42477373,0.545849846,5.694336512,4.023224624,2.193853545,1.189631078,2.439599148,2.243732958,11.73576882,1
13.3041173,17.42477423,0.545850134,5.694336507,4.023226424,2.193853538,1.18963076,2.43959914,2.24373295,5.538925252,1
14.69995596,14.5432021,0.740331123,5.69409913,4.048490581,2.188449257,0.297585762,2.440071003,2.242318833,37.36485216,1
14.69995596,14.5432021,0.740331123,5.69409913,4.048490581,2.188449257,0.297585762,2.440071003,2.242318833,37.36485216,1
14.69995531,14.54320142,0.740290037,5.694099146,4.048489569,2.188449279,0.297586226,2.440071021,2.24231884,37.36485216,1
14.70242506,14.56540112,0.748742852,5.758854401,3.275015992,2.240865324,1.184096136,2.479043726,2.285607124,12.43128646,1
14.70394046,14.56430691,0.777327908,5.761469186,4.027551753,1.994744948,0.292624235,2.427410517,2.115261863,12.93420204,1
14.70393994,14.56430875,0.777230256,5.761459573,4.027553566,1.994744913,0.292623781,2.42740875,2.11526184,18.97604287,0
13.3041208,17.42477048,0.545838223,5.77241349,3.216795488,2.260621263,1.240007086,2.499939064,2.306561026,18.90769192,1
