BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,target
14.70177584,14.55774099,0.744079888,5.748824783,3.218349007,1
14.70055034,13.64428687,0.741445939,5.679852679,3.258334983,1
13.30411693,17.42477438,0.545839445,5.666628147,3.296716219,1
13.30411758,17.42477408,0.545842086,5.666628158,3.296578987,1
13.30411641,17.42477449,0.545837289,5.666628148,3.296716219,1
13.30411693,17.42477437,0.545839711,5.666628138,3.296588573,1
13.30411745,17.42477426,0.545841498,5.666628007,3.296588573,1
13.30411681,17.42477456,0.545838861,5.666627994,3.296726011,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,1
13.30411656,17.42477478,0.545838548,5.666628813,3.296839677,1
13.30411629,17.42477512,0.545837262,5.666627899,3.29674658,1
13.30237987,17.42835166,0.536180591,5.666628129,4.018052063,1
13.3031544,17.42581725,0.545139096,5.666628144,3.296632692,1
13.3031544,17.42581725,0.545139096,5.666628144,3.296632692,1
13.3031547,17.42582027,0.54523595,5.666619761,3.29888263,1
13.3041168,17.42477455,0.545839115,5.666626509,4.022056276,1
13.3041163,17.42477465,0.545836129,5.666629075,4.043755236,1
13.3031547,17.42582028,0.545235945,5.666619769,3.299269196,1
13.30411749,17.42477423,0.545841757,5.666628151,3.296588573,1
13.30411679,17.42477454,0.545838833,5.666627998,3.296638871,1
13.30411746,17.42477428,0.545841802,5.66648851,3.296622014,1
13.30411763,17.42477407,0.545842579,5.666554981,3.296611426,1
13.30411616,17.42477484,0.545836739,5.666627786,4.023004068,1
13.30411681,17.42477456,0.545838849,5.666626518,4.022057284,1
13.3031547,17.42582064,0.545235945,5.666618138,4.022059486,1
13.3031547,17.42582062,0.54523595,5.666618129,4.022058472,1
13.30411673,17.42477461,0.545839838,5.666547818,3.296687398,1
15.58918511,14.54841279,1.023534859,5.673601947,3.240362866,1
14.70046315,14.55168787,0.740399485,5.694044219,3.160924949,1
14.70034008,14.55169612,0.740335309,5.694033329,3.161650512,1
14.70046307,14.55158209,0.740397866,5.694044219,3.16809527,1
14.70046329,14.551679,0.740402006,5.694100165,3.160714513,1
14.70046329,14.551679,0.740401982,5.694100117,3.160732148,1
14.70043299,14.55169117,0.740386742,5.694044222,3.138729007,0
14.70046295,14.55216895,0.740398314,5.694044221,3.138754764,0
14.70042677,14.55254494,0.7403822,5.694044221,3.139026528,0
14.70033848,14.55231738,0.740346565,5.694044221,3.138968987,1
14.69995209,14.55229314,0.740326693,5.694044221,4.038030749,1
14.70033848,14.55231738,0.740346565,5.694044221,3.138968987,0
14.6997643,14.55170123,0.739800936,5.694044221,3.139249199,1
14.70033828,14.5521876,0.740346667,5.694044221,3.139249199,1
14.7004331,14.55161179,0.740388971,5.694044222,3.132964415,1
14.70046326,14.55167538,0.740401762,5.694044219,3.160081483,1
14.70046318,14.55156949,0.740400137,5.694044219,3.16700178,1
14.70046322,14.55168425,0.740400967,5.694044219,3.160242486,1
14.70046267,14.55844749,0.740395787,5.69404422,3.139480233,1
14.70046292,14.55232914,0.740397801,5.694044221,3.138769295,0
14.70046267,14.55844749,0.740395787,5.69404422,3.139480233,0
14.7004635,14.55166602,0.740405997,5.802365709,3.160514124,0
14.70043293,14.55158537,0.740385165,5.694044222,3.162827622,1
14.70046289,14.55265677,0.740397281,5.694044221,3.138933452,0
14.70042483,14.55169358,0.740385949,5.694044222,3.138754764,1
14.700433,14.55169312,0.740386406,5.694044221,3.138754764,1
14.70046303,14.55197878,0.740322346,5.69404367,3.165416263,1
14.70046314,14.55198261,0.740399442,5.694043664,3.190577864,1
14.70043299,14.55169117,0.740386742,5.694044222,3.138729007,1
14.70046264,14.56009706,0.740395278,5.69404422,3.139986662,0
14.7004631,14.5521447,0.740336014,5.694840586,3.180697852,0
14.70046288,14.55217333,0.740396825,5.694044221,3.138783088,0
14.70040076,14.56030074,0.739872712,5.672943522,3.216514088,1
14.69966503,14.56022058,0.738894391,5.672943522,3.209700461,1
14.70714934,13.62689277,0.784260377,5.691812103,3.180974015,0
14.70714934,13.62689484,0.784260379,5.692317144,3.180979926,0
14.70055034,13.64428687,0.741445939,5.679852679,3.258334983,1
14.70720208,14.54022727,0.787128877,5.693234165,4.019980383,0
14.70815907,14.54841481,0.787444244,5.673614747,3.242921197,1
15.5890874,14.54892556,1.023531357,5.673660824,3.240096978,1
15.58908731,14.54892773,1.023530688,5.673660812,3.240106374,1
15.58926575,14.54819794,1.023541018,5.673664323,3.239830799,0
14.7027085,14.54873626,0.751902579,5.673664176,3.239921583,1
15.5891232,14.54872696,1.023533099,5.673664167,3.239892175,1
15.58912314,14.54872794,1.023532654,5.673664145,3.239896688,1
15.58908751,14.54892208,1.023533302,5.673664211,3.239918662,1
15.58908749,14.54892287,1.023532282,5.673664132,3.239923188,1
15.58908745,14.54892395,1.023531946,5.673664125,3.239927759,1
15.5890874,14.54892505,1.023531501,5.673664101,3.239932341,1
15.58908682,14.54893559,1.023527812,5.673660751,3.240412127,1
14.70062284,14.54078245,0.741477009,5.731048866,3.162352849,1
14.70228608,13.63730804,0.752757174,5.684716188,3.285290687,0
14.7017758,14.55774687,0.74404011,5.771211349,3.227718648,0
13.30411704,17.42477412,0.545848814,5.694333007,4.02317377,1
15.58862281,14.54971228,1.02348884,5.673664295,3.239895539,1
15.58924356,14.54826103,1.023539775,5.673664287,3.239895539,1
13.30412029,17.42476918,0.54605203,5.670606543,4.024955194,1
15.58432691,14.56441425,0.97782203,5.76360009,3.240281659,1
15.58924388,14.5482581,1.023540631,5.673664289,3.239835192,1
15.5892438,14.54825875,1.023540256,5.673664279,3.239839594,1
15.58924372,14.54825941,1.023539795,5.673664256,3.239844005,1
14.70250654,14.56871236,0.751864089,5.692144965,3.230646828,0
14.70063026,14.54078443,0.741404845,5.731102609,3.162682219,1
13.30345114,17.42773768,0.536298372,5.758910289,4.027885726,1
14.70121383,13.64268343,0.741553224,5.727213733,4.119698853,0
14.69977106,13.64484323,0.740350976,5.72721742,4.119706632,1
14.69977106,13.64484323,0.740350976,5.72721742,4.119706632,0
14.70121383,13.64268343,0.741553224,5.727213733,4.119698853,0
14.69976941,14.56537121,0.740349842,5.763636073,3.241216505,1
14.70253372,14.56538785,0.748757702,5.75685253,3.269475008,0
14.70187842,14.56542543,0.748690717,5.758957032,4.02755694,0
15.58926566,14.54819856,1.023540556,5.6736643,3.239835192,0
13.3031547,17.42581741,0.545237521,5.693729176,3.294590417,1
14.70046272,14.69242901,0.74039642,5.694044222,3.139480233,1
14.70042677,14.55254494,0.7403822,5.694044221,3.139026528,1
14.69976402,14.5570738,0.739746438,5.749558323,3.194425955,1
14.70102842,14.56436259,0.771865695,5.761452964,4.0290105,1
14.70241394,14.55706781,0.751674897,5.82603073,3.188398441,0
14.70177584,14.82535704,0.744083364,5.771144704,3.218744496,1
14.6999514,14.54389055,0.74030255,5.694098999,4.048503551,1
14.69994695,14.54390267,0.74027674,5.694098921,4.048509734,1
14.69994259,14.5439149,0.740252327,5.694098844,4.04851596,0
14.69994916,14.54361779,0.740289914,5.693488099,4.048505561,1
14.69994476,14.54362865,0.740264794,5.693488037,4.048511758,0
14.69994045,14.5436396,0.740241015,5.693487976,4.048517997,1
14.69975554,14.63886887,0.739388651,5.685688358,4.023614591,0
14.69975554,14.63888671,0.739388651,5.685688355,4.023635916,1
14.69975554,14.63889573,0.739388651,5.685688354,4.02364669,1
14.69975554,14.63890482,0.739388651,5.685688353,4.023657538,1
14.70028819,14.56571881,0.74130621,5.655503082,4.029514265,0
14.70028827,14.56571035,0.741308322,5.694935587,4.029505792,0
14.70021672,14.56570636,0.740802381,5.655503083,4.029507235,0
14.70028815,14.56572281,0.741307287,5.694108849,4.029513111,0
14.69976494,14.55092014,0.7386458,5.675821646,3.282739695,1
14.69976494,14.55092105,0.738645716,5.675821597,3.283059534,1
14.69976493,14.55092291,0.738639876,5.675821283,3.283127056,1
14.70117033,13.64271812,0.741582922,5.723272492,4.119022749,0
13.3031547,17.42582362,0.545238281,5.688992684,4.017094038,1
13.30411754,17.42477401,0.545850566,5.694336496,4.023225565,1
13.30411742,17.42477373,0.545849846,5.694336512,4.023224624,1
13.3041173,17.42477423,0.545850134,5.694336507,4.023226424,1
14.69995596,14.5432021,0.740331123,5.69409913,4.048490581,1
14.69995596,14.5432021,0.740331123,5.69409913,4.048490581,1
14.69995531,14.54320142,0.740290037,5.694099146,4.048489569,1
14.70242506,14.56540112,0.748742852,5.758854401,3.275015992,1
14.70394046,14.56430691,0.777327908,5.761469186,4.027551753,1
14.70393994,14.56430875,0.777230256,5.761459573,4.027553566,0
13.3041208,17.42477048,0.545838223,5.77241349,3.216795488,1
14.70059975,13.64401431,0.741459479,5.674208102,3.248598756,1
14.69995595,14.638448,0.740330572,5.694099105,4.043834728,1
14.70177582,14.55774558,0.744056472,5.747381551,3.226905925,1
14.70177809,14.54943893,0.751227054,5.688992703,4.017090594,1
14.70177809,14.5494393,0.751227007,5.688992684,4.017090462,1
5.571904301,14.63890703,0.629346119,0.991873185,4.021618895,1
14.7017758,14.5577471,0.74402615,5.748823316,3.227718648,0
14.70213864,14.54952587,0.761020332,5.655088534,4.043950707,1
14.70175211,14.55788717,0.744041794,5.750252347,3.227315615,0
14.70177586,14.82535418,0.74409778,5.748823725,3.218720818,1
14.70610212,14.56613387,0.777846029,5.761370599,3.275183666,0
14.70181235,14.56435561,0.775046395,5.761461436,4.037758099,0
14.70048677,14.55678038,0.741139289,5.74955601,3.188120645,1
14.70081487,14.55791585,0.743940155,5.651125833,4.038180417,1
15.58924311,14.54826402,1.023534968,5.673617078,4.017048331,1
14.70373543,14.56612903,0.777210824,5.76137914,4.027555998,1
14.7018586,14.55880828,0.746114532,5.774096137,4.027550756,1
14.70393956,14.56611976,0.777327161,5.76138673,4.027553354,0
14.70388269,14.56430908,0.775485916,5.76146169,4.028501828,0
14.70177612,14.54482538,0.750989676,5.700840302,4.028121341,1
13.30278147,17.43070558,0.526962276,5.68876572,4.022243246,1
13.3027807,17.43070663,0.526958785,5.68876572,4.022245888,1
13.30344694,17.4277399,0.536286261,5.749550143,4.022972458,1
14.70068206,14.55675788,0.741519012,5.785101388,3.177136154,1
15.585581,14.55622583,0.99413843,5.657103524,3.317651852,0
14.70201897,14.54030889,0.751519671,5.73350707,4.028580823,0
14.70373615,14.56431482,0.777211473,5.76146161,4.027554392,0
14.70549059,14.57175735,0.774115002,5.689862049,3.184972912,1
14.70385355,14.56431432,0.775193051,5.761468525,4.029447425,0
14.70389297,14.56431061,0.776239325,5.761468854,4.028500376,0
14.70042674,14.55277922,0.740319057,5.694101273,3.14104171,1
14.70042683,14.5527708,0.740320811,5.694101796,3.140725321,1
14.69996039,14.54359343,0.740362757,5.694102129,4.048490495,1
14.69996478,14.54358806,0.740394988,5.694102166,4.048484724,1
14.70042692,14.55277354,0.740385416,5.694101867,3.164191163,1
14.70253372,14.56539338,0.748757802,5.706301325,3.269512812,0
14.70188169,14.56540901,0.74870246,5.758916732,4.027555327,0
13.30411554,17.42477569,0.545842389,5.694335732,4.023236644,1
14.70062826,13.64394674,0.741456404,5.679715866,3.258131955,0
14.70062826,13.64394674,0.741456404,5.679715866,3.258131955,1
14.7018578,14.56542934,0.748688893,5.758956688,4.028505692,0
13.30411848,17.42477298,0.545845551,5.666647401,3.296306344,1
14.70053715,13.64438382,0.741445048,5.679869634,3.258608436,1
14.70226921,14.56542114,0.748720632,5.758910814,3.27691801,0
14.69976962,13.64703308,0.740390231,5.679869683,3.258802977,1
14.69976962,13.64703308,0.740390231,5.679869683,3.258802977,1
14.7081603,14.54841218,0.78809898,5.673660509,3.240035014,0
14.70028828,14.56571031,0.741310799,5.655503083,4.029508963,0
14.70028829,14.56570832,0.741307637,5.655503083,4.0295081,0
14.70028822,14.56571237,0.741255355,5.655503083,4.029677227,0
14.70028825,14.56571034,0.7412819,5.655503083,4.029509667,0
14.70028833,14.56570191,0.741284055,5.700279272,4.029501238,0
13.30411512,17.42477557,0.545839973,5.694935585,4.029507516,0
