ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,VE1_A,VE3_A,VR3_A,nAromAtom,nAromBond,target
12.22766434,11.11491379,20.14722688,20.14722688,3.699344626,3.673300236,1.771094134,4.818308886,6,6,1
23.8155689,19.77482241,39.91306846,39.91306846,4.364258912,4.641129337,2.633570017,6.823749568,12,12,1
28.67410827,23.57195385,46.61592558,46.61592558,4.538757206,4.829967503,2.883172559,7.456212105,16,17,1
27.8980518,22.84384918,45.59642512,45.59642512,4.511608767,4.747241228,2.838497501,7.483839101,16,17,1
28.67410827,23.57195385,46.61592558,46.61592558,4.538757206,4.829967503,2.883172559,7.456212105,16,17,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,4.738491619,2.864051681,7.736658369,16,17,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,4.738491619,2.864051681,7.736658369,16,17,1
29.38121505,23.41383491,47.88465812,47.88465812,4.561942236,4.809301148,2.905552849,7.685465486,16,17,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,4.790512066,2.874970128,7.548645502,16,17,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,4.790512066,2.874970128,7.548645502,16,17,1
29.45016474,24.13003126,47.62839222,47.62839222,4.565186297,4.918114142,2.927926219,7.451680668,16,17,1
30.90481841,24.01980142,50.30024035,50.30024035,4.610566654,4.787964581,2.952399751,8.189646375,16,17,1
29.63010261,23.98807666,47.24831803,47.24831803,4.567297695,4.896741277,2.923571005,7.468186632,16,17,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,4.790512066,2.874970128,7.548645502,16,17,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,4.790512066,2.874970128,7.548645502,16,17,1
29.34077494,23.51345631,48.43606998,48.43606998,4.562050043,4.945244837,2.933427543,7.554676414,16,17,1
29.54907219,23.50336622,47.69184072,47.69184072,4.564164907,4.798631262,2.90333179,7.872272657,16,17,1
29.56849306,24.37243292,47.28581499,47.28581499,4.56751637,5.070677126,2.958475431,7.271970589,16,17,1
29.40972462,24.40081629,47.96568762,47.96568762,4.56526637,5.089043235,2.96209091,7.299229766,16,17,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,4.738491619,2.864051681,7.736658369,16,17,1
29.42165517,23.12965775,47.87270459,47.87270459,4.561832365,4.761747594,2.895615809,7.843715517,16,17,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,4.738491619,2.864051681,7.736658369,22,23,1
27.8980518,22.84384918,45.59642512,45.59642512,4.511608767,4.747241228,2.838497501,7.483839101,21,22,1
30.09726035,24.07770685,49.47496698,49.47496698,4.587839836,4.839843182,2.937858873,7.953204361,16,17,1
29.61802188,24.39072619,47.20235129,47.20235129,4.567374411,4.875476714,2.919218954,7.584726475,16,17,1
30.35363823,25.21858752,48.5527351,48.5527351,4.593145263,5.100713334,2.990356952,7.420625513,16,17,1
30.28468855,24.32975055,49.02317727,49.02317727,4.590017503,4.97794347,2.965993401,7.689461687,16,17,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,4.790512066,2.874970128,7.548645502,21,22,1
19.18934235,15.08574395,32.34190084,32.34190084,4.140143941,4.274695805,2.369003675,6.446262927,16,17,1
37.48291056,29.49598006,61.99767526,61.99767526,4.791453281,5.339201848,3.26431138,8.785192984,22,22,1
38.25896703,30.46082912,62.88792879,62.88792879,4.812016002,5.967333712,3.395738126,8.200152417,22,22,1
39.45440099,30.97220197,65.41212733,65.41212733,4.853254541,4.460535268,3.124509314,10.62853861,22,22,1
33.94737666,27.53322885,56.07410119,56.07410119,4.697134509,4.912015982,3.095761841,8.851801672,16,16,1
33.94737666,27.57579591,56.07420001,56.07420001,4.697134509,5.11434432,3.1361266,8.784947183,16,16,1
36.5974643,28.65904912,61.2463567,61.2463567,4.770542204,5.04460168,3.186934615,8.83350609,22,22,0
37.30457108,29.21355833,62.2948246,62.2948246,4.789681083,5.132960699,3.224917832,8.847539676,22,22,0
