ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,target
12.22766434,11.11491379,20.14722688,20.14722688,3.699344626,1
23.8155689,19.77482241,39.91306846,39.91306846,4.364258912,1
28.67410827,23.57195385,46.61592558,46.61592558,4.538757206,1
27.8980518,22.84384918,45.59642512,45.59642512,4.511608767,1
28.67410827,23.57195385,46.61592558,46.61592558,4.538757206,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,1
29.38121505,23.41383491,47.88465812,47.88465812,4.561942236,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,1
29.45016474,24.13003126,47.62839222,47.62839222,4.565186297,1
30.90481841,24.01980142,50.30024035,50.30024035,4.610566654,1
29.63010261,23.98807666,47.24831803,47.24831803,4.567297695,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,1
29.34077494,23.51345631,48.43606998,48.43606998,4.562050043,1
29.54907219,23.50336622,47.69184072,47.69184072,4.564164907,1
29.56849306,24.37243292,47.28581499,47.28581499,4.56751637,1
29.40972462,24.40081629,47.96568762,47.96568762,4.56526637,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,1
29.42165517,23.12965775,47.87270459,47.87270459,4.561832365,1
28.60515859,22.68615583,47.10540224,47.10540224,4.535454374,1
27.8980518,22.84384918,45.59642512,45.59642512,4.511608767,1
30.09726035,24.07770685,49.47496698,49.47496698,4.587839836,1
29.61802188,24.39072619,47.20235129,47.20235129,4.567374411,1
30.35363823,25.21858752,48.5527351,48.5527351,4.593145263,1
30.28468855,24.32975055,49.02317727,49.02317727,4.590017503,1
28.71454839,23.32980572,46.58970023,46.58970023,4.53864722,1
19.18934235,15.08574395,32.34190084,32.34190084,4.140143941,1
37.48291056,29.49598006,61.99767526,61.99767526,4.791453281,1
38.25896703,30.46082912,62.88792879,62.88792879,4.812016002,1
39.45440099,30.97220197,65.41212733,65.41212733,4.853254541,1
33.94737666,27.53322885,56.07410119,56.07410119,4.697134509,1
33.94737666,27.57579591,56.07420001,56.07420001,4.697134509,1
36.5974643,28.65904912,61.2463567,61.2463567,4.770542204,0
37.30457108,29.21355833,62.2948246,62.2948246,4.789681083,0
41.54721176,31.50855072,69.71141321,69.71141321,4.893248078,0
39.64467102,30.81698629,65.58549843,65.58549843,4.846584155,1
