MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,target
1.911485824,37,0.434966057,1.828182885,6.514573265,0,4.794537184,0.624412929,0.67758527,0.839738341,5.343551485,2.598833288,0.718895138,1.367453704,6.5964,12.71084835,0.613014289,3.402064397,0.677283381,7.323169215,1
1.911485824,570,0.366367315,1.828182885,6.514573265,0,9.740498951,0.62289545,0.670755725,0.878123687,5.343551485,2.598833288,0.514378427,0.659301291,6.507218,39.95814702,1.011121896,3.402064397,0.723685626,7.323169215,1
1.911485824,677,0.440136564,1.828182885,10.90292493,1,9.184952232,0.642843994,0.730527157,0.71482036,5.343551485,2.598833288,0.504568853,1.577591522,6.451618919,30.29785437,1.074472328,3.402064397,0.666149952,10.07780132,1
1.911485824,609,0.471647004,1.828182885,10.90292493,1,9.184952232,0.643440027,0.729395286,0.728962517,5.343551485,2.598833288,0.469299814,1.613691155,6.318814136,30.29785437,1.115165127,3.402064397,0.670909583,10.07780132,1
1.911485824,705,0.435364379,1.828182885,10.90292493,1,13.97948942,0.632944057,0.71790402,0.752570448,5.343551485,2.598833288,0.558337757,1.563702634,6.522393855,36.84261077,0.977899783,3.402064397,0.667020385,14.87233851,1
1.911485824,675,0.469323614,1.828182885,10.90292493,1,9.184952232,0.63712338,0.73686642,0.759616104,5.343551485,2.598833288,0.511521734,1.604815415,6.332579082,43.5116183,1.068389241,3.402064397,0.674152418,10.07780132,1
1.911485824,631,0.475135457,1.828182885,10.90292493,1,9.184952232,0.647626612,0.753200676,0.726268534,5.343551485,2.598833288,0.457346609,1.616649735,6.267048544,30.29785437,1.107035336,3.402064397,0.672438536,10.07780132,1
1.911485824,699,0.443286752,1.828182885,10.90292493,1,9.184952232,0.647109704,0.755678425,0.711115655,5.343551485,2.598833288,0.49200031,1.580550102,6.408140704,30.29785437,1.066169973,3.402064397,0.667968234,10.07780132,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,1
1.911485824,735,0.430071929,1.828182885,10.90292493,2,9.184952232,0.637118159,0.724942615,0.711873657,5.343551485,2.598833288,0.546862756,1.578815717,6.455440722,35.98524064,1.079960342,3.402064397,0.672710647,10.07780132,1
1.911485824,747.1111111,0.442395424,1.828182885,10.90292493,2,9.184952232,0.643755045,0.729271341,0.727721931,5.343551485,2.598833288,0.52067592,1.593169613,6.334605023,30.29785437,1.058948695,3.402064397,0.674486432,10.07780132,1
1.911485824,777,0.434702437,1.828182885,10.90292493,1,17.96578233,0.630287078,0.672907978,0.675009237,5.343551485,2.598833288,0.535852724,1.544421349,6.448353403,36.84261077,1.07969459,3.402064397,0.663244201,18.85863142,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,1
1.911485824,775,0.495340525,1.828182885,10.90292493,1,13.57536728,0.644063298,0.757051052,0.726842126,5.343551485,2.598833288,0.544521516,1.558561972,6.458178061,44.17637126,1.05779922,3.402064397,0.66998142,14.46821637,1
1.911485824,682,0.485119358,1.828182885,10.90292493,1,9.184952232,0.632672656,0.591767324,0.756013814,5.343551485,2.598833288,0.498091202,1.614074675,6.207392377,43.5116183,1.055452611,3.402064397,0.67573867,10.07780132,1
1.911485824,675.6666667,0.423090031,1.828182885,10.90292493,1,17.60274922,0.588384374,0.71846422,0.658253227,5.343551485,2.598833288,0.594389149,1.549067647,6.500787958,41.73809425,1.073234207,3.402064397,0.777354232,10.07780132,1
1.911485824,777,0.464243217,1.828182885,10.90292493,1,13.57536728,0.648689886,0.750617031,0.689623466,5.343551485,2.598833288,0.537725584,1.531338079,6.584685946,30.96260733,1.06286856,3.402064397,0.662362838,14.46821637,1
1.911485824,616.3333333,0.47030378,1.828182885,10.90292493,1,9.184952232,0.647672341,0.69089021,0.732576273,5.343551485,2.598833288,0.511521734,1.614677348,6.321390306,30.29785437,1.111495345,3.402064397,0.685006366,10.07780132,1
1.911485824,675.8888889,0.456563082,1.828182885,10.90292493,1,9.184952232,0.623064353,0.726190668,0.772440575,5.343551485,2.598833288,0.491792472,1.597227765,6.303177358,36.40182075,1.069369636,3.402064397,0.661577699,10.07780132,1
1.911485824,699,0.457394109,1.828182885,22.16030442,0,9.184952232,0.622603277,0.699906757,0.723864702,4.302857876,4.302857876,0.451980971,1.593551118,6.428323596,35.99178236,1.152898301,3.402064397,0.661705219,4.390415048,1
1.911485824,635.6666667,0.461099759,1.828182885,21.47400012,0,14.16893075,0.624786368,0.690236472,0.732257081,4.258876394,4.258876394,0.519983292,1.594928529,6.471042012,30.29785437,1.160797082,3.402064397,0.673809617,4.390415048,1
1.911485824,724,0.474170878,1.828182885,10.90292493,1,9.184952232,0.629998844,0.691239434,0.78269474,5.343551485,2.598833288,0.532759081,1.520324675,6.360960748,49.11266911,0.936965617,3.402064397,0.678684676,10.07780132,1
1.911485824,684,0.459835321,1.828182885,10.90292493,1,9.184952232,0.638746617,0.581278763,0.711115655,5.343551485,2.598833288,0.491321292,1.586850782,6.304775943,30.29785437,1.060976431,3.402064397,0.667968234,10.07780132,1
1.911485824,784,0.481595844,1.828182885,10.90292493,1,13.57536728,0.64507341,0.599555444,0.685310027,5.343551485,2.598833288,0.523967536,1.540597338,6.420895755,30.96260733,1.048922239,3.402064397,0.664345726,14.46821637,1
1.911485824,782,0.508242427,1.828182885,10.90292493,1,13.57536728,0.640288107,0.610178997,0.722697891,5.343551485,2.598833288,0.530589214,1.567821231,6.317784305,44.17637126,1.044446894,3.402064397,0.671742876,14.46821637,1
