MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,ATS7Z,BCUTs-1l,naRing,MAXsssN,AATS1i,EState_VSA2,FilterItLogS,SRW05,AATS3v,MATS2pe,n5HRing,SRW07,ATS8are,nAromAtom,MATS1m,CIC2,MINssO,ATSC4s,n5Ring,BCUTp-1h,target
1.911485824,37,0.434966057,1.828182885,6.514573265,0,4.794537184,0.624412929,0.67758527,0.839738341,5.343551485,2.598833288,0.718895138,1.367453704,6.5964,12.71084835,0.613014289,3.402064397,0.677283381,7.323169215,503,1.240004694,1,0.861194607,151.3827337,24.49801642,0.860631659,2.397895273,165.5384731,0.473222483,1,4.59511985,173.584,6,0.686925386,0.102082816,5.463247354,0.57531236,1,1.937685537,1
1.911485824,570,0.366367315,1.828182885,6.514573265,0,9.740498951,0.62289545,0.670755725,0.878123687,5.343551485,2.598833288,0.514378427,0.659301291,6.507218,39.95814702,1.011121896,3.402064397,0.723685626,7.323169215,2746,1.143745165,2,0.861194607,144.3473482,31.20494165,0.770486267,3.044522438,233.0672933,0.235573745,2,5.351858133,844.64,12,0.732470085,0.245671496,5.363460018,0.540050717,2,2.006345207,1
1.911485824,677,0.440136564,1.828182885,10.90292493,1,9.184952232,0.642843994,0.730527157,0.71482036,5.343551485,2.598833288,0.504568853,1.577591522,6.451618919,30.29785437,1.074472328,3.402064397,0.666149952,10.07780132,3786,1.195097339,3,1.560705386,145.8672399,40.82509838,0.710688877,2.397895273,212.573581,0.388025502,1,4.59511985,1192.481,16,0.675299081,0.128572681,5.575123431,0.585506725,1,2.208021696,1
1.911485824,609,0.471647004,1.828182885,10.90292493,1,9.184952232,0.643440027,0.729395286,0.728962517,5.343551485,2.598833288,0.469299814,1.613691155,6.318814136,30.29785437,1.115165127,3.402064397,0.670909583,10.07780132,3684,1.195097337,3,2.157927609,145.9691895,29.35446716,0.70690782,2.397895273,204.5594659,0.355891037,1,4.442651256,1196.981,16,0.679907485,0.170651915,5.612181044,0.615929476,1,2.208016512,1
1.911485824,705,0.435364379,1.828182885,10.90292493,1,13.97948942,0.632944057,0.71790402,0.752570448,5.343551485,2.598833288,0.558337757,1.563702634,6.522393855,36.84261077,0.977899783,3.402064397,0.667020385,14.87233851,3762,1.195097341,3,1.338483164,146.4518964,41.52480062,0.726707039,2.397895273,220.8918118,0.407826985,1,4.59511985,1149.081,16,0.676127913,0.139243474,4.960302262,0.579953697,1,2.208014076,1
1.911485824,675,0.469323614,1.828182885,10.90292493,1,9.184952232,0.63712338,0.73686642,0.759616104,5.343551485,2.598833288,0.511521734,1.604815415,6.332579082,43.5116183,1.068389241,3.402064397,0.674152418,10.07780132,3916,1.195097335,3,2.064177609,146.4538054,29.35446716,0.715155325,2.010426078,210.814492,0.298494885,0,3.689805535,1235.481,16,0.682965282,0.185173438,5.404757635,0.614787997,0,2.208017015,1
1.911485824,631,0.475135457,1.828182885,10.90292493,1,9.184952232,0.647626612,0.753200676,0.726268534,5.343551485,2.598833288,0.457346609,1.616649735,6.267048544,30.29785437,1.107035336,3.402064397,0.672438536,10.07780132,3886,1.195097333,3,2.189177609,145.9015768,29.35446716,0.699137157,2.010426078,201.725213,0.360523233,0,3.689805535,1258.933,16,0.681352831,0.185822245,5.628709969,0.621384843,0,2.208024154,1
1.911485824,699,0.443286752,1.828182885,10.90292493,1,9.184952232,0.647109704,0.755678425,0.711115655,5.343551485,2.598833288,0.49200031,1.580550102,6.408140704,30.29785437,1.066169973,3.402064397,0.667968234,10.07780132,3988,1.195097334,3,1.591955386,145.8029826,40.82509838,0.702930524,2.010426078,209.1409274,0.392779643,0,3.689805535,1254.433,16,0.677025306,0.141214236,5.591652356,0.589814769,0,2.20802937,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,3901,1.195097333,3,1.926446127,146.5325591,34.91791865,0.731325523,2.397895273,205.6373395,0.335775894,1,4.59511985,1228.507,16,0.669232177,0.143321911,5.593186553,0.607722308,1,2.208019792,1
1.911485824,671,0.459515143,1.828182885,10.90292493,1,9.184952232,0.61821583,0.695773553,0.776182185,5.343551485,2.598833288,0.50442655,1.591179923,6.330809645,36.40182075,1.043418619,3.402064397,0.659537199,10.07780132,3901,1.195097333,3,1.926446127,146.5325591,34.91791865,0.731325523,2.397895273,205.6373395,0.335775894,1,4.59511985,1228.507,16,0.669232177,0.143321911,5.593186553,0.607722308,1,2.208019792,1
