smiles,target,CAS,activity_value,Unit
Cc(c1)c(=O)[nH]c(=O)n1[C@H]2O[C@@H](CO)CC2,TRUE,553834,0.38,uM
COc(c1)c(OC)c(OC)cc1[C@@H]2[C@H](C(=O)OC3)[C@@H]3[C@@H](O)c(c24)cc5c(c4)OCO5,FALSE,904226,9.79,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4C(=O)CCC4,TRUE,1000161-54-5,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4CCCC4,TRUE,1000161-55-6,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4C(=O)OCC4,TRUE,1000161-56-7,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4CCOCC4,TRUE,1000161-57-8,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4CCCCC4,TRUE,1000161-58-9,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4C(=O)CCCC4,TRUE,1000161-59-0,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4CC[C@H](O)C4,TRUE,1000161-60-3,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4CC[C@@H](O)C4,TRUE,1000161-61-4,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4N(C)C(=O)CC4,TRUE,1000161-62-5,0.01,uM
CC(C)[C@H](CO)n1cc(C(=O)O)c(=O)c(c12)cc(c(c2)OC)Cc3cc(cc(Cl)c3F)N4CCN(C(=O)C)CC4,TRUE,1000161-63-6,0.01,uM
